"90","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","HOUT PREEKSTOEL MET LOS SYKANTE",,,"18000",,,"CTYGER4401"
"91","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","Perspex preekstoel",,,"12000",,,"CTYGER4401"
"92","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","IMBUIA TAFEL",,,"9000",,,"CTYGER4401"
"93","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","3 STOELE MET LEERINSETSELS",,,"6000",,,"CTYGER4401"
"94","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","3 RIEMPIESTOELE",,,"3000",,,"CTYGER4401"
"95","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","COMFORT RYSTOEL",,,"2000",,,"CTYGER4401"
"96","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","LOOPRAAM",,,"500",,,"CTYGER4401"
"97","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","11 DOOPROKKE",,,"6000",,,"CTYGER4401"
"98","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","STOFSUIER: WAP AERO 400",,,"800",,,"CTYGER4401"
"99","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","HANDDOEKE",,,"500",,,"CTYGER4401"
"100","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","PLASTIEKWARE (EMMERS, BEKERS, KOMME, ENS.",,,"3500",,,"CTYGER4401"
"101","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","SYBLOMME EN POTTE",,,"7000",,,"CTYGER4401"
"102","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","BIBLIOTEEKBOEKE",,,"15300",,,"CTYGER4401"
"103","2018-06-06","Tygerberg","9199","54 Boston St Boston Bellville 7530","allrisk","BIBLIOTEEKDVD'S",,,"6000",,,"CTYGER4401"
